Coin,Strategy,Jun'25,Jul'25,Aug'25,Sep'25,Oct'25,Nov'25,Dec'25,Jan'26,Feb'26,Mar'26,Apr'26,May'26,Full Year
ADA,Short Win Rate,0.290,0.430,0.340,0.290,0.500,0.460,0.350,0.470,0.590,0.500,0.500,0.500,0.420
ADA,Long/Short Returns,0.197,0.097,-0.248,0.057,-0.002,-0.222,-0.065,-0.059,-0.122,0.184,-0.160,-0.024,-0.402
ADA,Long/Short Trades,16,27,27,12,23,34,22,19,28,17,12,11,266
ADA,Long/Short Win Rate,0.500,0.440,0.260,0.500,0.390,0.320,0.270,0.320,0.360,0.530,0.250,0.550,0.370
ADA,Hybrid Returns,0.082,0.009,-0.061,-0.003,0.359,0.162,0.136,0.313,0.224,0.117,-0.032,0.010,1.946
ADA,Hybrid Trades,17,27,25,11,19,27,18,16,21,15,9,9,231
ADA,Hybrid Win Rate,0.410,0.410,0.320,0.270,0.530,0.480,0.330,0.620,0.570,0.530,0.440,0.440,0.440
APT,Buy Hold,0.037,-0.113,-0.008,0.032,-0.260,-0.382,-0.163,-0.246,-0.245,-0.076,0.111,-0.021,-0.794
APT,Long Returns,0.147,0.068,0.063,0.001,0.015,-0.169,-0.288,-0.121,0.051,-0.053,-0.106,-0.111,-0.362
APT,Long Trades,10,10,6,8,18,20,19,11,14,13,11,12,148
APT,Long Win Rate,0.400,0.600,0.500,0.500,0.390,0.300,0.210,0.270,0.360,0.310,0.270,0.250,0.340
APT,Short Returns,0.016,0.131,-0.048,0.085,0.482,0.347,0.081,0.167,0.368,0.071,-0.092,0.010,3.139
APT,Short Trades,21,26,24,13,31,38,30,26,32,26,20,20,306
APT,Short Win Rate,0.240,0.420,0.330,0.460,0.420,0.450,0.500,0.350,0.500,0.500,0.400,0.450,0.420
APT,Long/Short Returns,0.159,0.147,0.040,0.088,0.170,0.100,-0.198,0.016,0.390,0.054,-0.204,-0.159,0.909
APT,Long/Short Trades,19,24,20,11,37,42,36,22,32,24,20,22,322
APT,Long/Short Win Rate,0.320,0.460,0.400,0.450,0.320,0.360,0.280,0.360,0.440,0.500,0.250,0.320,0.370
APT,Hybrid Returns,-0.015,0.086,-0.094,0.093,0.484,0.323,0.117,0.216,0.253,0.060,-0.144,-0.007,1.519
APT,Hybrid Trades,18,24,22,10,29,36,25,23,30,24,19,18,298
APT,Hybrid Win Rate,0.280,0.420,0.320,0.400,0.380,0.440,0.560,0.390,0.470,0.500,0.370,0.440,0.400
ARB,Buy Hold,0.014,0.156,0.267,-0.154,-0.299,-0.271,-0.114,-0.262,-0.290,-0.070,0.334,-0.122,-0.680
ARB,Long Returns,0.043,0.326,0.369,-0.090,-0.008,-0.168,-0.119,-0.263,0.094,-0.078,0.061,0.029,0.096
ARB,Long Trades,19,16,15,10,14,18,14,15,14,13,15,10,170
