asset,signal_type,filter_mode,threshold,target_pct,stop_pct,hold_hours,raw_hits,dedup_trades,win_rate,avg_market_pnl_pct,avg_funding_pnl_pct,avg_total_pnl_pct,median_total_pnl_pct,max_drawdown_pct,sharpe_like,hard_blocked
BTC,FUNDING_EXTREME_LONG,filter_default,15,3.0,2.0,48,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,15,3.0,2.0,48,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_off,15,4.0,2.5,48,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_default,15,4.0,2.5,48,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,15,4.0,2.5,48,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_off,15,5.0,2.5,48,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_default,15,5.0,2.5,48,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,15,5.0,2.5,48,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_off,15,6.0,3.0,48,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_default,15,6.0,3.0,48,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,15,6.0,3.0,48,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_off,15,3.0,2.0,72,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_default,15,3.0,2.0,72,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,15,3.0,2.0,72,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_off,15,4.0,2.5,72,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_default,15,4.0,2.5,72,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,15,4.0,2.5,72,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_off,15,5.0,2.5,72,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_default,15,5.0,2.5,72,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,15,5.0,2.5,72,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_off,15,6.0,3.0,72,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_default,15,6.0,3.0,72,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,15,6.0,3.0,72,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_off,20,3.0,2.0,24,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_default,20,3.0,2.0,24,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,20,3.0,2.0,24,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_off,20,4.0,2.5,24,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_default,20,4.0,2.5,24,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_blocked,20,4.0,2.5,24,0,0,,,,,,,,no
BTC,FUNDING_EXTREME_LONG,filter_off,20,5.0,2.5,24,0,0,,,,,,,,no
